,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
1154,#455 Best Public Elementary Schools in New Jersey,E,Flemington-Raritan Regional School District,B+Overall Niche Grade,K-4 ,Robert Hunter Elementary School,346 Students,476.0,9:1 Student-Teacher Ratio, NJ ,flemington,Public School ,https://www.niche.com/k12/robert-hunter-elementary-school-flemington-nj/
1156,#456 Best Public Elementary Schools in New Jersey,E,Millstone Township School District,B+Overall Niche Grade,3-5 ,Millstone Township Elementary School,340 Students,477.0,9:1 Student-Teacher Ratio, NJ ,clarksburg,Public School ,https://www.niche.com/k12/millstone-township-elementary-school-clarksburg-nj/
1160,#457 Best Public Elementary Schools in New Jersey,E,Howell Township Public School District,B+Overall Niche Grade,3-5 ,Ramtown School,365 Students,478.0,11:1 Student-Teacher Ratio, NJ ,howell,Public School ,https://www.niche.com/k12/ramtown-school-howell-nj/
1162,#458 Best Public Elementary Schools in New Jersey,E,Jersey City,B+Overall Niche Grade,"PK, K-8 ",Learning Community Charter School,584 Students,479.0,13:1 Student-Teacher Ratio, NJ ,jersey-city,Public School ,https://www.niche.com/k12/learning-community-charter-school-jersey-city-nj/
1164,#459 Best Public Elementary Schools in New Jersey,E,Fair Haven School District,B+Overall Niche Grade,"PK, K-3 ",Viola L. Sickles School,427 Students,480.0,15:1 Student-Teacher Ratio, NJ ,fair-haven,Public School ,https://www.niche.com/k12/viola-l-sickles-school-fair-haven-nj/
1167,#460 Best Public Elementary Schools in New Jersey,E,Mount Laurel Township School District,B+Overall Niche Grade,"PK, K-4 ",Larchmont Elementary School,363 Students,481.0,10:1 Student-Teacher Ratio, NJ ,mount-laurel,Public School ,https://www.niche.com/k12/larchmont-elementary-school-mount-laurel-nj/
1169,#461 Best Public Elementary Schools in New Jersey,E,Weehawken Public School District,B+Overall Niche Grade,3-6 ,Theodore Roosevelt School,359 Students,482.0,11:1 Student-Teacher Ratio, NJ ,weehawken,Public School ,https://www.niche.com/k12/theodore-roosevelt-school-weehawken-nj/
1171,#462 Best Public Elementary Schools in New Jersey,E,Wanaque School District,B+Overall Niche Grade,"PK, K-8 ",Haskell Elementary School,392 Students,483.0,9:1 Student-Teacher Ratio, NJ ,haskell,Public School ,https://www.niche.com/k12/haskell-elementary-school-haskell-nj/
1175,#463 Best Public Elementary Schools in New Jersey,E,Emerson Public School District,B+Overall Niche Grade,3-6 ,Patrick M. Villano Elementary School,313 Students,484.0,10:1 Student-Teacher Ratio, NJ ,emerson,Public School ,https://www.niche.com/k12/patrick-m-villano-elementary-school-emerson-nj/
1177,#464 Best Public Elementary Schools in New Jersey,E,Woodstown-Pilesgrove Regional School District,B+Overall Niche Grade,1-5 ,Mary S. Shoemaker School,418 Students,485.0,10:1 Student-Teacher Ratio, NJ ,woodstown,Public School ,https://www.niche.com/k12/mary-s-shoemaker-school-woodstown-nj/
1179,#465 Best Public Elementary Schools in New Jersey,E,Piscataway Township School District,B+Overall Niche Grade,4-5 ,Arbor Intermediate School,486 Students,486.0,12:1 Student-Teacher Ratio, NJ ,piscataway,Public School ,https://www.niche.com/k12/arbor-intermediate-school-piscataway-nj/
1181,#466 Best Public Elementary Schools in New Jersey,E,North Arlington School District,B+Overall Niche Grade,K-5 ,Franklin D. Roosevelt Elementary School,240 Students,487.0,19:1 Student-Teacher Ratio, NJ ,north-arlington,Public School ,https://www.niche.com/k12/franklin-d-roosevelt-elementary-school-north-arlington-nj/
1183,#467 Best Public Elementary Schools in New Jersey,E,Old Bridge Township School District,B+Overall Niche Grade,K-5 ,Memorial Elementary School,385 Students,488.0,12:1 Student-Teacher Ratio, NJ ,laurence-harbor,Public School ,https://www.niche.com/k12/memorial-elementary-school-laurence-harbor-nj/
1187,#468 Best Public Elementary Schools in New Jersey,E,Bloomingdale School District,B+Overall Niche Grade,2-4 ,Samuel R. Donald School,180 Students,489.0,12:1 Student-Teacher Ratio, NJ ,bloomingdale,Public School ,https://www.niche.com/k12/samuel-r-donald-school-bloomingdale-nj/
1189,#469 Best Public Elementary Schools in New Jersey,E,Haddon Heights School District,B+Overall Niche Grade,"PK, K-6 ",Glenview Elementary School,244 Students,490.0,9:1 Student-Teacher Ratio, NJ ,haddon-heights,Public School ,https://www.niche.com/k12/glenview-elementary-school-haddon-heights-nj/
1191,#470 Best Public Elementary Schools in New Jersey,E,Westwood Regional School District,B+Overall Niche Grade,K-5 ,Jessie F. George Elementary School,255 Students,491.0,11:1 Student-Teacher Ratio, NJ ,township-of-washington,Public School ,https://www.niche.com/k12/jessie-f-george-elementary-school-township-of-washington-nj/
1193,#471 Best Public Elementary Schools in New Jersey,E,Woodbridge Township School District,B+Overall Niche Grade,K-5 ,Kennedy Park School,448 Students,492.0,17:1 Student-Teacher Ratio, NJ ,iselin,Public School ,https://www.niche.com/k12/kennedy-park-school-iselin-nj/
1195,#472 Best Public Elementary Schools in New Jersey,E,Haddon Heights School District,B+Overall Niche Grade,K-6 ,Atlantic Avenue Elementary School,134 Students,493.0,13:1 Student-Teacher Ratio, NJ ,haddon-heights,Public School ,https://www.niche.com/k12/atlantic-avenue-elementary-school-haddon-heights-nj/
1198,#473 Best Public Elementary Schools in New Jersey,E,Clinton Township School District,B+Overall Niche Grade,2-3 ,Patrick McGaheran School,246 Students,494.0,8:1 Student-Teacher Ratio, NJ ,lebanon,Public School ,https://www.niche.com/k12/patrick-mcgaheran-school-lebanon-nj/
1200,#474 Best Public Elementary Schools in New Jersey,E,Lawrence Township Public School District,B+Overall Niche Grade,4-6 ,Lawrence Intermediate School,893 Students,495.0,12:1 Student-Teacher Ratio, NJ ,lawrenceville,Public School ,https://www.niche.com/k12/lawrence-intermediate-school-lawrenceville-nj/
1202,#475 Best Public Elementary Schools in New Jersey,E,Evesham Township School District,B+Overall Niche Grade,K-5 ,Robert B. Jaggard School,363 Students,496.0,9:1 Student-Teacher Ratio, NJ ,marlton,Public School ,https://www.niche.com/k12/robert-b-jaggard-school-marlton-nj/
1210,#477 Best Public Elementary Schools in New Jersey,E,Atlantic Highlands,B+Overall Niche Grade,"PK, K-6 ",Atlantic Highlands Elementary School,321 Students,500.0,11:1 Student-Teacher Ratio, NJ ,atlantic-highlands,Public School ,https://www.niche.com/k12/atlantic-highlands-elementary-school-atlantic-highlands-nj/
1212,#478 Best Public Elementary Schools in New Jersey,E,East Greenwich Township School District,B+Overall Niche Grade,3-6 ,Samuel Mickle School,669 Students,501.0,11:1 Student-Teacher Ratio, NJ ,mickleton,Public School ,https://www.niche.com/k12/samuel-mickle-school-mickleton-nj/
1268,,E,,,,The Green Vale School,,,,,glen-head-ny,,https://www.niche.com/k12/the-green-vale-school-glen-head-ny/
1309,,E,,,,Bloomsbury Elementary School,,,,,bloomsbury,,https://www.niche.com/k12/bloomsbury-elementary-school-bloomsbury-nj/
1317,,E,,,,Riverdale Public School,,,,,riverdale,,https://www.niche.com/k12/riverdale-public-school-riverdale-nj/
1326,#524 Best Public Elementary Schools in New Jersey,E,Newark,B+Overall Niche Grade,K-8 ,The Gray Charter School,347 Students,547.0,18:1 Student-Teacher Ratio, NJ ,newark,Public School ,https://www.niche.com/k12/the-gray-charter-school-newark-nj/
1328,#525 Best Public Elementary Schools in New Jersey,E,Union Township School District (Union),B+Overall Niche Grade,"PK, K-4 ",Washington Elementary School,601 Students,548.0,13:1 Student-Teacher Ratio, NJ ,union,Public School ,https://www.niche.com/k12/washington-elementary-school-union-nj/
1330,#526 Best Public Elementary Schools in New Jersey,E,Hainesport,B+Overall Niche Grade,"PK, K-8 ",Hainesport Township School,609 Students,549.0,10:1 Student-Teacher Ratio, NJ ,hainesport,Public School ,https://www.niche.com/k12/hainesport-township-school-hainesport-nj/
1342,,E,,,,Williamsburg Northside School,,,,,brooklyn-ny,,https://www.niche.com/k12/williamsburg-northside-school-brooklyn-ny/
1371,,E,,,,Frelinghuysen Elementary School,,,,,johnsonburg,,https://www.niche.com/k12/frelinghuysen-elementary-school-johnsonburg-nj/
1392,,E,,,,Morris Goodwin School,,,,,greenwich,,https://www.niche.com/k12/morris-goodwin-school-greenwich-nj/
1410,#556 Best Public Elementary Schools in New Jersey,E,Pedricktown,B+Overall Niche Grade,"PK, K-8 ",Oldmans Township School,275 Students,582.0,12:1 Student-Teacher Ratio, NJ ,pedricktown,Public School ,https://www.niche.com/k12/oldmans-township-school-pedricktown-nj/
1412,#557 Best Public Elementary Schools in New Jersey,E,North Arlington School District,B+Overall Niche Grade,"PK, K-5 ",George Washington Elementary School,333 Students,583.0,14:1 Student-Teacher Ratio, NJ ,north-arlington,Public School ,https://www.niche.com/k12/george-washington-elementary-school-north-arlington-nj/
1416,#558 Best Public Elementary Schools in New Jersey,E,Nutley Public School District,B+Overall Niche Grade,K-6 ,Washington School,568 Students,584.0,13:1 Student-Teacher Ratio, NJ ,nutley,Public School ,https://www.niche.com/k12/washington-school-nutley-nj/
1418,#559 Best Public Elementary Schools in New Jersey,E,Butler Public School District,B+Overall Niche Grade,"PK, K-4 ",Aaron Decker School,350 Students,585.0,10:1 Student-Teacher Ratio, NJ ,butler,Public School ,https://www.niche.com/k12/aaron-decker-school-butler-nj/
1420,#560 Best Public Elementary Schools in New Jersey,E,Bloomfield Township School District,B+Overall Niche Grade,K-6 ,Franklin School,334 Students,586.0,11:1 Student-Teacher Ratio, NJ ,bloomfield,Public School ,https://www.niche.com/k12/franklin-school-bloomfield-nj/
1423,#561 Best Public Elementary Schools in New Jersey,E,Hanover Township School District,B+Overall Niche Grade,K-5 ,Bee Meadow School,297 Students,587.0,9:1 Student-Teacher Ratio, NJ ,whippany,Public School ,https://www.niche.com/k12/bee-meadow-school-whippany-nj/
1425,#562 Best Public Elementary Schools in New Jersey,E,Hackettstown Public School District,B+Overall Niche Grade,"PK, K-4 ",Hatchery Hill Elementary School,348 Students,588.0,13:1 Student-Teacher Ratio, NJ ,hackettstown,Public School ,https://www.niche.com/k12/hatchery-hill-elementary-school-hackettstown-nj/
1427,#563 Best Public Elementary Schools in New Jersey,E,Sayreville School District,B+Overall Niche Grade,K-3 ,Dwight D. Eisenhower Elementary School,544 Students,589.0,14:1 Student-Teacher Ratio, NJ ,parlin,Public School ,https://www.niche.com/k12/dwight-d-eisenhower-elementary-school-parlin-nj/
1431,#564 Best Public Elementary Schools in New Jersey,E,South Plainfield School District,B+Overall Niche Grade,K-4 ,John E. Riley Elementary School,320 Students,590.0,12:1 Student-Teacher Ratio, NJ ,south-plainfield,Public School ,https://www.niche.com/k12/john-e-riley-elementary-school-south-plainfield-nj/
1433,#565 Best Public Elementary Schools in New Jersey,E,Roxbury Township School District,B+Overall Niche Grade,K-4 ,Franklin Elementary School,289 Students,591.0,11:1 Student-Teacher Ratio, NJ ,succasunna,Public School ,https://www.niche.com/k12/franklin-elementary-school-succasunna-nj/
1435,#566 Best Public Elementary Schools in New Jersey,E,Hardyston Township School District,B+Overall Niche Grade,"PK, K-4 ",Hardyston Township Elementary School,390 Students,592.0,10:1 Student-Teacher Ratio, NJ ,franklin,Public School ,https://www.niche.com/k12/hardyston-township-elementary-school-franklin-nj/
1437,#567 Best Public Elementary Schools in New Jersey,E,Woodbridge Township School District,B+Overall Niche Grade,K-5 ,Woodbine Avenue School,587 Students,593.0,18:1 Student-Teacher Ratio, NJ ,avenel,Public School ,https://www.niche.com/k12/woodbine-avenue-school-avenel-nj/
1439,#568 Best Public Elementary Schools in New Jersey,E,Haddon Township School District,B+Overall Niche Grade,K-5 ,Clyde S. Jennings Elementary School,108 Students,594.0,10:1 Student-Teacher Ratio, NJ ,oaklyn,Public School ,https://www.niche.com/k12/clyde-s-jennings-elementary-school-oaklyn-nj/
1443,,E,,,,Sandyston-Walpack Consolidated School,,,,,layton,,https://www.niche.com/k12/sandyston-walpack-consolidated-school-layton-nj/
1445,#570 Best Public Elementary Schools in New Jersey,E,Middlesex Borough School District,B+Overall Niche Grade,"PK, K-3 ",Hazelwood School,195 Students,595.0,10:1 Student-Teacher Ratio, NJ ,middlesex,Public School ,https://www.niche.com/k12/hazelwood-school-middlesex-nj/
1447,#571 Best Public Elementary Schools in New Jersey,E,Egg Harbor Township School District,B+Overall Niche Grade,"PK, K-3 ",H. Russell Swift Elementary School,397 Students,596.0,11:1 Student-Teacher Ratio, NJ ,egg-harbor-township,Public School ,https://www.niche.com/k12/h-russell-swift-elementary-school-egg-harbor-township-nj/
1449,#572 Best Public Elementary Schools in New Jersey,E,Wall Township Public School District,B+Overall Niche Grade,K-5 ,West Belmar Elementary School,207 Students,597.0,8:1 Student-Teacher Ratio, NJ ,wall,Public School ,https://www.niche.com/k12/west-belmar-elementary-school-wall-nj/
1451,,E,,,,Wenonah Elementary School,,,,,wenonah,,https://www.niche.com/k12/wenonah-elementary-school-wenonah-nj/
1454,#574 Best Public Elementary Schools in New Jersey,E,South Plainfield School District,B+Overall Niche Grade,K-4 ,Franklin Elementary School,266 Students,598.0,11:1 Student-Teacher Ratio, NJ ,south-plainfield,Public School ,https://www.niche.com/k12/franklin-elementary-school-south-plainfield-nj/
1456,#575 Best Public Elementary Schools in New Jersey,E,Englewood,B+Overall Niche Grade,K-6 ,Englewood on the Palisades Charter School,252 Students,599.0,10:1 Student-Teacher Ratio, NJ ,englewood,Public School ,https://www.niche.com/k12/englewood-on-the-palisades-charter-school-englewood-nj/
1458,#576 Best Public Elementary Schools in New Jersey,E,Garfield Public School District,B+Overall Niche Grade,"PK, K-5 ",Roosevelt School No. 7,362 Students,600.0,12:1 Student-Teacher Ratio, NJ ,no-7-garfield,Public School ,https://www.niche.com/k12/roosevelt-school-no-7-garfield-nj/
1482,,E,,,,The Ethical Community Charter School,,,,,jersey-city,,https://www.niche.com/k12/the-ethical-community-charter-school-jersey-city-nj/
1501,,E,,,,Mannington Township School,,,,,salem,,https://www.niche.com/k12/mannington-township-school-salem-nj/
1509,,E,,,,South Hackensack Memorial School,,,,,south-hackensack,,https://www.niche.com/k12/south-hackensack-memorial-school-south-hackensack-nj/
1515,,E,,,,South Harrison Township Elementary School,,,,,harrisonville,,https://www.niche.com/k12/south-harrison-township-elementary-school-harrisonville-nj/
1532,,E,,,,Holland Township Elementary School,,,,,milford,,https://www.niche.com/k12/holland-township-elementary-school-milford-nj/
1548,,E,,,,Milford Borough Elementary School,,,,,milford,,https://www.niche.com/k12/milford-borough-elementary-school-milford-nj/
1551,#611 Best Public Elementary Schools in New Jersey,E,Plainfield,BOverall Niche Grade,K-8 ,The Queen City Academy Charter School,324 Students,634.0,11:1 Student-Teacher Ratio, NJ ,plainfield,Public School ,https://www.niche.com/k12/the-queen-city-academy-charter-school-plainfield-nj/
1553,#612 Best Public Elementary Schools in New Jersey,E,Ventnor City School District,BOverall Niche Grade,"PK, K-4 ",Ventnor Elementary School,409 Students,635.0,10:1 Student-Teacher Ratio, NJ ,ventnor,Public School ,https://www.niche.com/k12/ventnor-elementary-school-ventnor-nj/
1555,#613 Best Public Elementary Schools in New Jersey,E,Runnemede Public School District,BOverall Niche Grade,K-3 ,Grace Downing Elementary School,169 Students,636.0,16:1 Student-Teacher Ratio, NJ ,runnemede,Public School ,https://www.niche.com/k12/grace-downing-elementary-school-runnemede-nj/
1559,#614 Best Public Elementary Schools in New Jersey,E,Galloway Township Public Schools,BOverall Niche Grade,K-6 ,Arthur Rann Elementary School,650 Students,637.0,10:1 Student-Teacher Ratio, NJ ,galloway,Public School ,https://www.niche.com/k12/arthur-rann-elementary-school-galloway-nj/
1561,#615 Best Public Elementary Schools in New Jersey,E,Paterson Public School District,BOverall Niche Grade,"PK, K-8 ",School No. 28,434 Students,638.0,10:1 Student-Teacher Ratio, NJ ,no-28-paterson,Public School ,https://www.niche.com/k12/school-no-28-paterson-nj/
1563,#616 Best Public Elementary Schools in New Jersey,E,South Hunterdon Regional School District,BOverall Niche Grade,"PK, K-6 ",Lambertville Public School,232 Students,639.0,8:1 Student-Teacher Ratio, NJ ,lambertville-340076903010,Public School ,https://www.niche.com/k12/lambertville-public-school-lambertville-nj-340076903010/
1565,#617 Best Public Elementary Schools in New Jersey,E,Monroe Township School District (Williamstown),BOverall Niche Grade,K-4 ,Whitehall Elementary School,377 Students,640.0,12:1 Student-Teacher Ratio, NJ ,williamstown,Public School ,https://www.niche.com/k12/whitehall-elementary-school-williamstown-nj/
1567,#618 Best Public Elementary Schools in New Jersey,E,Bordentown Regional School District,BOverall Niche Grade,4-5 ,MacFarland Intermediate School,368 Students,641.0,14:1 Student-Teacher Ratio, NJ ,bordentown,Public School ,https://www.niche.com/k12/macfarland-intermediate-school-bordentown-nj/
1571,#619 Best Public Elementary Schools in New Jersey,E,Washington Township School District,BOverall Niche Grade,1-5 ,Birches Elementary School,437 Students,642.0,10:1 Student-Teacher Ratio, NJ ,turnersville,Public School ,https://www.niche.com/k12/birches-elementary-school-turnersville-nj/
1573,#620 Best Public Elementary Schools in New Jersey,E,Tewksbury Township School District,BOverall Niche Grade,"PK, K-4 ",Tewksbury Elementary School,269 Students,643.0,9:1 Student-Teacher Ratio, NJ ,califon,Public School ,https://www.niche.com/k12/tewksbury-elementary-school-califon-nj/
1575,#621 Best Public Elementary Schools in New Jersey,E,Bergenfield Borough School District,BOverall Niche Grade,K-5 ,Hoover Elementary School,195 Students,644.0,11:1 Student-Teacher Ratio, NJ ,bergenfield,Public School ,https://www.niche.com/k12/hoover-elementary-school-bergenfield-nj/
1577,,E,,,,Hope Township Elementary School,,,,,hope,,https://www.niche.com/k12/hope-township-elementary-school-hope-nj/
1579,#623 Best Public Elementary Schools in New Jersey,E,Lumberton Township Board of Education,BOverall Niche Grade,4-5 ,Bobby's Run Elementary School,314 Students,645.0,12:1 Student-Teacher Ratio, NJ ,lumberton,Public School ,https://www.niche.com/k12/bobbys-run-elementary-school-lumberton-nj/
1582,#624 Best Public Elementary Schools in New Jersey,E,Jobstown,BOverall Niche Grade,"PK, K-6 ",Springfield Township Elementary School,226 Students,646.0,37:1 Student-Teacher Ratio, NJ ,jobstown,Public School ,https://www.niche.com/k12/springfield-township-elementary-school-jobstown-nj/
1584,#625 Best Public Elementary Schools in New Jersey,E,Ocean Township School District (Oakhurst),BOverall Niche Grade,"PK, K-4 ",Wayside Elementary School,628 Students,647.0,10:1 Student-Teacher Ratio, NJ ,ocean,Public School ,https://www.niche.com/k12/wayside-elementary-school-ocean-nj/
1586,#626 Best Public Elementary Schools in New Jersey,E,Woodbridge Township School District,BOverall Niche Grade,K-5 ,Ford Avenue School,225 Students,648.0,14:1 Student-Teacher Ratio, NJ ,fords,Public School ,https://www.niche.com/k12/ford-avenue-school-fords-nj/
1596,,E,,,,Merchantville Elementary School,,,,,merchantville,,https://www.niche.com/k12/merchantville-elementary-school-merchantville-nj/
1614,#636 Best Public Elementary Schools in New Jersey,E,Rochelle Park,BOverall Niche Grade,"PK, K-8 ",Midland School,496 Students,659.0,12:1 Student-Teacher Ratio, NJ ,rochelle-park,Public School ,https://www.niche.com/k12/midland-school-rochelle-park-nj/
1616,#637 Best Public Elementary Schools in New Jersey,E,Washington Township School District,BOverall Niche Grade,1-5 ,Bells Elementary School,446 Students,660.0,10:1 Student-Teacher Ratio, NJ ,turnersville,Public School ,https://www.niche.com/k12/bells-elementary-school-turnersville-nj/
1618,#638 Best Public Elementary Schools in New Jersey,E,Lebanon Township School District,BOverall Niche Grade,"PK, K-4 ",Valley View Elementary School,318 Students,661.0,10:1 Student-Teacher Ratio, NJ ,califon,Public School ,https://www.niche.com/k12/valley-view-elementary-school-califon-nj/
1622,,E,,,,Franklin Township School,,,,,quakertown,,https://www.niche.com/k12/franklin-township-school-quakertown-nj/
1624,#640 Best Public Elementary Schools in New Jersey,E,Cliffside Park School District,BOverall Niche Grade,K-6 ,Cliffside Park School No. 4,555 Students,662.0,15:1 Student-Teacher Ratio, NJ ,no-4-cliffside-park,Public School ,https://www.niche.com/k12/cliffside-park-school-no-4-cliffside-park-nj/
1626,#641 Best Public Elementary Schools in New Jersey,E,Toms River Regional School District,BOverall Niche Grade,"PK, K-5 ",Cedar Grove Elementary School,719 Students,663.0,14:1 Student-Teacher Ratio, NJ ,toms-river,Public School ,https://www.niche.com/k12/cedar-grove-elementary-school-toms-river-nj/
1628,,E,,,,Port Republic Elementary School,,,,,port-republic,,https://www.niche.com/k12/port-republic-elementary-school-port-republic-nj/
1630,#643 Best Public Elementary Schools in New Jersey,E,Tinton Falls School District,BOverall Niche Grade,"PK, K-2 ",Mahala F. Atchison Elementary School,444 Students,664.0,8:1 Student-Teacher Ratio, NJ ,tinton-falls,Public School ,https://www.niche.com/k12/mahala-f-atchison-elementary-school-tinton-falls-nj/
1634,,E,,,,Netcong Elementary School,,,,,netcong,,https://www.niche.com/k12/netcong-elementary-school-netcong-nj/
1636,#645 Best Public Elementary Schools in New Jersey,E,East Rutherford School District,BOverall Niche Grade,"PK, K-4 ",McKenzie School,443 Students,665.0,12:1 Student-Teacher Ratio, NJ ,east-rutherford,Public School ,https://www.niche.com/k12/mckenzie-school-east-rutherford-nj/
1638,,E,,,,Ridge & Valley Charter School,,,,,blairstown,,https://www.niche.com/k12/ridge--and--valley-charter-school-blairstown-nj/
1640,#647 Best Public Elementary Schools in New Jersey,E,Lyndhurst School District,BOverall Niche Grade,K-2 ,Franklin School,214 Students,666.0,16:1 Student-Teacher Ratio, NJ ,lyndhurst,Public School ,https://www.niche.com/k12/franklin-school-lyndhurst-nj/
1642,#648 Best Public Elementary Schools in New Jersey,E,Verona Public School District,BOverall Niche Grade,K-4 ,F.N. Brown School,197 Students,667.0,11:1 Student-Teacher Ratio, NJ ,verona,Public School ,https://www.niche.com/k12/fn-brown-school-verona-nj/
1645,#649 Best Public Elementary Schools in New Jersey,E,Bloomfield Township School District,BOverall Niche Grade,K-6 ,Carteret School,420 Students,668.0,12:1 Student-Teacher Ratio, NJ ,bloomfield,Public School ,https://www.niche.com/k12/carteret-school-bloomfield-nj/
1647,#650 Best Public Elementary Schools in New Jersey,E,Hawthorne Public School District,BOverall Niche Grade,K-5 ,Washington Elementary School,252 Students,669.0,11:1 Student-Teacher Ratio, NJ ,hawthorne,Public School ,https://www.niche.com/k12/washington-elementary-school-hawthorne-nj/
1649,,E,,,,Estell Manor Elementary School,,,,,estell-manor,,https://www.niche.com/k12/estell-manor-elementary-school-estell-manor-nj/
1655,,E,,,,Califon Public School,,,,,califon,,https://www.niche.com/k12/califon-public-school-califon-nj/
1690,#666 Best Public Elementary Schools in New Jersey,E,Oxford,BOverall Niche Grade,"PK, K-8 ",Oxford Central School,294 Students,686.0,10:1 Student-Teacher Ratio, NJ ,oxford,Public School ,https://www.niche.com/k12/oxford-central-school-oxford-nj/
1692,#667 Best Public Elementary Schools in New Jersey,E,Pemberton Township School District,BOverall Niche Grade,"PK, K-2 ",Aletta Crichton School,332 Students,687.0,11:1 Student-Teacher Ratio, NJ ,browns-mills,Public School ,https://www.niche.com/k12/aletta-crichton-school-browns-mills-nj/
1694,#668 Best Public Elementary Schools in New Jersey,E,Jersey City School District,BOverall Niche Grade,"PK, K-8 ",Dr. Michael Conti School - P.S. 5,604 Students,688.0,10:1 Student-Teacher Ratio, NJ ,--ps-5-jersey-city,Public School ,https://www.niche.com/k12/dr-michael-conti-school---ps-5-jersey-city-nj/
1698,#669 Best Public Elementary Schools in New Jersey,E,Evesham Township School District,BOverall Niche Grade,K-5 ,Frances DeMasi Elementary School,310 Students,689.0,14:1 Student-Teacher Ratio, NJ ,marlton,Public School ,https://www.niche.com/k12/frances-demasi-elementary-school-marlton-nj/
1700,#670 Best Public Elementary Schools in New Jersey,E,Clifton Public School District,BOverall Niche Grade,K-5 ,Clifton School No. 3,302 Students,690.0,15:1 Student-Teacher Ratio, NJ ,no-3-clifton,Public School ,https://www.niche.com/k12/clifton-school-no-3-clifton-nj/
1702,#671 Best Public Elementary Schools in New Jersey,E,Vernon Township School District,BOverall Niche Grade,2-4 ,Cedar Mountain Primary School,307 Students,691.0,8:1 Student-Teacher Ratio, NJ ,vernon,Public School ,https://www.niche.com/k12/cedar-mountain-primary-school-vernon-nj/
1704,#672 Best Public Elementary Schools in New Jersey,E,Toms River Regional School District,BOverall Niche Grade,K-5 ,Hooper Avenue Elementary School,684 Students,692.0,13:1 Student-Teacher Ratio, NJ ,toms-river,Public School ,https://www.niche.com/k12/hooper-avenue-elementary-school-toms-river-nj/
1706,#673 Best Public Elementary Schools in New Jersey,E,Hamilton Township School District (Hamilton),BOverall Niche Grade,"PK, K-5 ",Alexander Elementary School,277 Students,693.0,10:1 Student-Teacher Ratio, NJ ,hamilton,Public School ,https://www.niche.com/k12/alexander-elementary-school-hamilton-nj/
1709,#674 Best Public Elementary Schools in New Jersey,E,Toms River Regional School District,BOverall Niche Grade,K-5 ,Beachwood Elementary School,517 Students,694.0,14:1 Student-Teacher Ratio, NJ ,beachwood,Public School ,https://www.niche.com/k12/beachwood-elementary-school-beachwood-nj/
1711,#675 Best Public Elementary Schools in New Jersey,E,Howell Township Public School District,BOverall Niche Grade,3-5 ,Howell Township Memorial Elementary School,285 Students,695.0,8:1 Student-Teacher Ratio, NJ ,freehold,Public School ,https://www.niche.com/k12/howell-township-memorial-elementary-school-freehold-nj/
1713,#676 Best Public Elementary Schools in New Jersey,E,Wayne Township Public School District,BOverall Niche Grade,"PK, K-5 ",Ryerson Elementary School,262 Students,696.0,11:1 Student-Teacher Ratio, NJ ,wayne,Public School ,https://www.niche.com/k12/ryerson-elementary-school-wayne-nj/
1735,#683 Best Public Elementary Schools in New Jersey,E,Hoboken,BOverall Niche Grade,K-12 ,Hoboken Charter School,298 Students,706.0,9:1 Student-Teacher Ratio, NJ ,hoboken,Public School ,https://www.niche.com/k12/hoboken-charter-school-hoboken-nj/
1737,#684 Best Public Elementary Schools in New Jersey,E,Verona Public School District,BOverall Niche Grade,K-4 ,Forest Avenue School,216 Students,707.0,15:1 Student-Teacher Ratio, NJ ,verona,Public School ,https://www.niche.com/k12/forest-avenue-school-verona-nj/
1739,#685 Best Public Elementary Schools in New Jersey,E,Roselle Park Board of Education,BOverall Niche Grade,K-5 ,Robert Gordon Elementary School,261 Students,708.0,10:1 Student-Teacher Ratio, NJ ,roselle-park,Public School ,https://www.niche.com/k12/robert-gordon-elementary-school-roselle-park-nj/
1742,#686 Best Public Elementary Schools in New Jersey,E,Byram Township School District,BOverall Niche Grade,"PK, K-4 ",Byram Lakes Elementary School,422 Students,709.0,9:1 Student-Teacher Ratio, NJ ,stanhope,Public School ,https://www.niche.com/k12/byram-lakes-elementary-school-stanhope-nj/
1744,#687 Best Public Elementary Schools in New Jersey,E,Verona Public School District,BOverall Niche Grade,K-4 ,Brookdale Avenue School,130 Students,710.0,12:1 Student-Teacher Ratio, NJ ,verona,Public School ,https://www.niche.com/k12/brookdale-avenue-school-verona-nj/
1746,#688 Best Public Elementary Schools in New Jersey,E,Lumberton Township Board of Education,BOverall Niche Grade,2-3 ,Ashbrook Elementary School,257 Students,711.0,12:1 Student-Teacher Ratio, NJ ,lumberton,Public School ,https://www.niche.com/k12/ashbrook-elementary-school-lumberton-nj/
1750,#689 Best Public Elementary Schools in New Jersey,E,Teaneck,BOverall Niche Grade,K-8 ,Teaneck Community Charter School,320 Students,712.0,13:1 Student-Teacher Ratio, NJ ,teaneck,Public School ,https://www.niche.com/k12/teaneck-community-charter-school-teaneck-nj/
1752,#690 Best Public Elementary Schools in New Jersey,E,Ocean Township School District (Oakhurst),BOverall Niche Grade,"PK, K-4 ",Ocean Township Elementary School,338 Students,713.0,8:1 Student-Teacher Ratio, NJ ,oakhurst,Public School ,https://www.niche.com/k12/ocean-township-elementary-school-oakhurst-nj/
